headline,title,text,
"This paper provides a brief survey of the basic concepts and algorithms used for Machine Learning. We discuss applications of machine learning algorithms in various fields. These include pattern recognition, sensor networks, anomaly detection, Internet of Things.",A Brief Survey of Machine Learning Methods and their Sensor and IoT Applications,"This paper provides a brief survey of the basic concepts and algorithms used for Machine Learning and its applications. We begin with a broader definition of machine learning and then introduce various learning modalities including supervised and unsupervised methods and deep learning paradigms. In the rest of the paper, we discuss applications of machine learning algorithms in various fields including pattern recognition, sensor networks, anomaly detection, Internet of Things (IoT) and health monitoring. In the final sections, we present some of the software tools and an extensive bibliography.", 
Text mining is the task of extracting meaningful information from text. The amount of text that is generated every day is increasing dramatically. Efficient and efficient techniques and algorithms are required to discover useful patterns.,"A brief survey of text mining Classification, clustering and extraction techniques","The amount of text that is generated every day is increasing dramatically. This tremendous volume of mostly unstructured text cannot be simply processed and perceived by computers. Therefore, efcient and e?ective techniques and algorithms are required to discover useful patterns. Text mining is the task of extracting meaningful information from text, which has gained signifcant attentions in recent years. In this paper, we describe several of the most fundamental text mining tasks and techniques including text pre-processing, classifcation and clustering. Additionally, we brie?y explain text mining in biomedical and health care domains.", 
A large amount of on-line information and lengthiness information can't fit for the mobile devices. We propose a method which collects original news text and extracts summary sentences from them automatically.,A Chinese Automatic Text Summarization system for mobile devices,"A large amount of on-line information and lengthiness information can’t fit for the mobile devices. In order to save this problem, we propose a method which collects original news text from on-line information and extracts summary sentences from them automatically. On this basis, we adopt WML(Wireless Markup Language) to build a news website for mobile devices browsing through the news summary. The system is mainly made up by Automatic News Collection and Auto Text Summarization. Our experimental results proved the effectiveness of the means.", 
The detection of spatial clusters and outliers is critical to a number of spatial data analysis techniques. This article proposes an exploratory procedure to detect and classify clusters and outlier. The procedure is fully implemented using free and open source geospatial software and libraries.,A classification technique for local multivariate clusters and outliers of spatial association,"The detection of spatial clusters and outliers is critical to a number of spatial data analysis techniques. Many techniques embed spatial clustering components with the aim of exploring spatial variability and patterns in a data set, caused by the spatial association that generally affects most spatial data. A frontier challenge in spatial data analysis is to extend techniques—originally designed for univariate analysis—to a multivariate context, in order to be able to cope with the increasing complexity and variety of modern spatial data. This article proposes an exploratory procedure to detect and classify clusters and outliers in a multivariate spatial data set. Cluster and outlier detection relies on recently introduced multivariate extensions of the well-established local indicators of spatial association statistics. Two new indicators are proposed enabling the classification of multivariate clusters and outliers, not directly achievable with any already established technique. The procedure is fully implemented using free and open source geospatial software and libraries. The raw source code is made available for future reviews and replications. Empirical results from early applications on both synthetic and real spatial data are discussed. Advantages and limitations of the introduced procedure are outlined according to the empirical results.", 
A high quality summary is a main goal and challenge for any automatic text summarization. We use cellular learning automata for calculating similarity of sentences and particle swarm optimization method for weighting to the features according to their importance. The results show that second method performs better than the first method and benchmark methods.,"A combinational method of fuzzy, particle swarm optimization and cellular learning automata for text summarization","A high quality summary is a main goal and challenge for any automatic text summarization. In this paper, a new method is introduced for automatic text summarization problem. We use cellular learning automata for calculating similarity of sentences, particle swarm optimization method for weighting to the features according to their importance and use fuzzy logic for scoring sentences. The cellular learning automata method concentrate on reducing the redundancy problems but particle swarm optimization and fuzzy logic methods centralized on the scoring technique of the sentences. We propose two methods, the first method is text summarization based cellular learning automata and the second method is text summarization based combination of fuzzy, particle swarm optimization and cellular learning automata. The results show that second method performs better than the first method and the benchmark methods.", 
"This paper provides a comparative study of commercial and academic automatic document summarization tools. Microsoft Word, SweSum, SHVOONG and Online Brevity Document Summarizer are compared.",A comparative study of automatic text summarization system performance,"This paper provides a comparative study of commercial and academic automatic document summarization tools: Microsoft Word, SweSum, SHVOONG and Online Brevity Document Summarizer. Also, these automatic systems are compared to human summarization techniques and analyzed, aiming to reveal which automatic summary achieves the best results in comparison with the human summarization techniques. Results of the experiment show that the most high-quality automatic summary was generated by Online Brevity Document Summarizer.", 
This paper attempts to find the most useful wavelet function among the existing members of the wavelet families for electroencephalogram signal (EEG) analysis. The EEGs considered for this study belong to both normal as well as abnormal signals like epileptic EEG. It was found that Coiflets 1 is the most suitable candidate among the wavelets considered in this study for accurate classification of the EEG signals.,A comparative study of wavelet families for EEG signal classification,"Over the past two decades, wavelet theory has been used for the processing of biomedical signals for feature extraction, compression and de-noising applications. However the question as to which wavelet family is the most suitable for analysis of non-stationary bio-signals is still prevalent among researchers. This paper attempts to find the most useful wavelet function among the existing members of the wavelet families for electroencephalogram signal (EEG) analysis. The EEGs considered for this study belong to both normal as well as abnormal signals like epileptic EEG. Important features such as energy, entropy and standard deviation at different sub-bands were computed using the wavelet functions—Haar, Daubechies (orders 2–10), Coiflets (orders 1–10), and Biorthogonal (orders 1.1, 2.4, 3.5, and 4.4). Feature vectors were used to model and train the Probabilistic Neural Network (PNN) and the classification accuracies were evaluated for each case. The results obtained from PNN classifier were compared with Support Vector Machine (SVM) classifier. From the statistical analysis, it was found that Coiflets 1 is the most suitable candidate among the wavelet families considered in this study for accurate classification of the EEG signals. In this work, we have attempted to improve the computing efficiency as it selects the most suitable wavelet function that can be used for EEG signal processing efficiently and accurately with lesser computational time.", 
"Document categorization is a technique where the category of a document is determined. Three well-known supervised learning techniques are compared for Bengali document categorization. Besides classifier, classification also depends on how feature is selected from dataset.",A Comparative Study on Different Types of Approaches to Bengali document Categorization,"Document categorization is a technique where the category of a document is determined. In this paper three well-known supervised learning techniques which are Support Vector Machine(SVM), Naïve Bayes(NB) and Stochastic Gradient Descent(SGD) compared for Bengali document categorization. Besides classifier, classification also depends on how feature is selected from dataset. For analyzing those classifier performances on predicting a document against twelve categories several feature selection techniques are also applied in this article namely Chi square distribution, normalized TFIDF (term frequency-inverse document frequency) with word analyzer. So, we attempt to explore the efficiency of those three-classification algorithms by using two different feature selection techniques in this article.", 
A vehicular ad hoc network (VANET) is a mobile network in which network nodes are vehicles. VANETs present a unique range of challenges and opportunities for routing protocols. Clustering can be used to improve routing scalability and reliability. It can also be used for accident or congestion detection and information dissemination.,A Comparative Survey of VANET Clustering Techniques,"A vehicular ad hoc network (VANET) is a mobile ad hoc network (MANET) in which network nodes are vehicles – most commonly road vehicles. VANETs present a unique range of challenges and opportunities for routing protocols due to the semi-organised nature of vehicular movements subject to the constraints of road geometry and rules, and the obstacles which limit physical connectivity in urban environments. In particular, the problems of routing protocol reliability and scalability across large urban VANETs are currently the subject of intense research. Clustering can be used to improve routing scalability and reliability in VANETs, as it results in the distributed formation of hierarchical network structures by grouping vehicles together based on correlated spatial distribution and relative velocity. In addition to the benefits to routing, these groups can serve as the foundation for accident or congestion detection, information dissemination and entertainment applications. This paper explores the design choices made in the development of clustering algorithms targeted at VANETs. It presents a taxonomy of the techniques applied to solve the problems of cluster head election, cluster affiliation and cluster management, and identifies new directions and recent trends in the design of these algorithms. Additionally, methodologies for validating clustering performance are reviewed, and a key shortcoming – the lack of realistic vehicular channel modelling – is identified. The importance of a rigorous and standardised performance evaluation regime utilising realistic vehicular channel models is demonstrated.", 
"The challenges of Android forensics include the complexity of the Android application and different procedures and tools for obtaining data. Manual, Logical and physical acquisition techniques are used to acquire data from an Android mobile device. The results of the analysis demonstrate that the technique can retrieve Contacts, photos, Videos, Call Logs, and SMSs.",A comparison study of android mobile forensics for retrieving files system,"A comparison study of the Android forensic field in terms of Android forensic process for acquiring and analysing an Android disk image is presented. The challenges of Android forensics, including the complexity of the Android application, different procedures and tools for obtaining data, difficulties with hardware set up, using expensive commercial tools for acquiring logical data that fail to retrieve physical data acquisition are described in this paper. To solve these challenges and achieve high accuracy and integrity in Android forensic processes, a new open source technique is investigated. Manual, Logical and physical acquisition techniques are used to acquire data from an Android mobile device (Samsung Android 4.2.2). The mobile phone is identified by taking photos of the device and its individual components, including the memory expansion card, and labelling them with identifying information. Following the manual acquisition, logical acquisition is conducted using the AFLogical application in the ViaExtract tool (by Now secure) installed on a Santoku Linux Virtual Machine. The image file is then created using the AccessData FTK imager tool for physical acquisition. Four tools are utilized to analyse recovered data: one using ViaExtract on a Santoku Linux Virtual Machine, two using the AccessData FTK Imager, and one using file carving in Autopsy on a Kali Linux Virtual Machine. The results of the analysis demonstrate that the technique can retrieve Contacts, photos, Videos, Call Logs, and SMSs. Also, the EaseUS Data Recovery Wizard Free tool is used for the recovery of files from the LOST.DIRon external memory.", 
"The huge amount of information available in digital media has increased the demand for simple, language-independent extractive summarization strategies. In this paper, we employ concepts and metrics of complex networks to select sentences for an extractive summary. When applied to a corpus of Brazilian Portuguese texts, some versions performed better than summarizers that do not employ deep linguistic knowledge.",A complex network approach to text summarization,"Automatic summarization of texts is now crucial for several information retrieval tasks owing to the huge amount of information available in digital media, which has increased the demand for simple, language-independent extractive summarization strategies. In this paper, we employ concepts and metrics of complex networks to select sentences for an extractive summary. The graph or network representing one piece of text consists of nodes corresponding to sentences, while edges connect sentences that share common meaningful nouns. Because various metrics could be used, we developed a set of 14 summarizers, generically referred to as CN-Summ, employing network concepts such as node degree, length of shortest paths, d-rings and k-cores. An additional summarizer was created which selects the highest ranked sentences in the 14 systems, as in a voting system. When applied to a corpus of Brazilian Portuguese texts, some CN-Summ versions performed better than summarizers that do not employ deep linguistic knowledge, with results comparable to state-of-the-art summarizers based on expensive linguistic resources. The use of complex networks to represent texts appears therefore as suitable for automatic summarization, consistent with the belief that the metrics of such networks may capture important text features.", 
Automatic text summarization condenses the text documents into meaningful phrases and textual messages. This paper discusses the basic blocks of the automatic text summarizing and its feature in identifying the intricate properties.,A comprehensive analysis on extractive automatic text summarization,The modern technology demands the maintenance of the increasing data which are in structured and unstructured form. The text documents collected in the various platforms occupies a massive space in the architectural structure of the computer system both physically and virtually. Apparently the users demand the summarizing of the collected documents for easy access and usage. To enable this automatic text summarization came into phase. The automatic text summarization condenses the text documents into meaningful phrases and textual messages which helps the user to understand the conceptual ides behind each core values. The importance of automatic text summarization stands as a helping source in the growing data. This paper discusses the basic blocks of the automatic text summarization and its feature in identifying the intricate properties of the meaningful text through various approaches., 
Text summarization aims at getting the most important content in a condensed form from a given document. It is considered to be an effective way of tackling information overload. There exist lots of text summarization approaches which are based on Latent Semantic Analysis (LSA),A Comprehensive Method for Text Summarization Based on Latent Semantic Analysis,"Text summarization aims at getting the most important content in a condensed form from a given document while retains the semantic information of the text to a large extent. It is considered to be an effective way of tackling information overload. There exist lots of text summarization approaches which are based on Latent Semantic Analysis (LSA). However, none of the previous methods consider the term description of the topic. In this paper, we propose a comprehensive LSA-based text summarization algorithm that combines term description with sentence description for each topic. We also put forward a new way to create the term by sentence matrix. The effectiveness of our method is proved by experimental results. On the summarization performance, our approach obtains higher ROUGE scores than several well known methods.", 
Multiple disease risk prediction models have been developed. They use various patient characteristics to estimate the probability of outcomes over a certain period of time. They hold the potential to improve decision making and individualize care.,A comprehensive study on disease risk predictions in machine learning,"Over recent years, multiple disease risk prediction models have been developed. These models use various patient characteristics to estimate the probability of outcomes over a certain period of time and hold the potential to improve decision making and individualize care. Discovering hidden patterns and interactions from medical databases with growing evaluation of the disease prediction model has become crucial. It needs many trials in traditional clinical findings that could complicate disease prediction. A Comprehensive study on different strategies used to predict disease is conferred in this paper. Applying these techniques to healthcare data, has improvement of risk prediction models to find out the patients who would get benefit from disease management programs to reduce hospital readmission and healthcare cost, but the results of these endeavors have been shifted.", 
"Vehicular communication networks is a powerful tool that enables numerous vehicular data services and applications. The rapid growth in vehicles has also resulted in the vehicular network becoming heterogeneous, dynamic, and large-scale. This study presents an exhaustive review of previous works by classifying them based on based on wireless communication, particularly VANET.","A comprehensive survey Benefits, Services, Recent works, Challenges, Security and Use cases for SDN-VANET","Vehicular communication networks is a powerful tool that enables numerous vehicular data services and applications. The rapid growth in vehicles has also resulted in the vehicular network becoming heterogeneous, dynamic, and large-scale, making it hard to meet the strict requirements, such as extremely latency, high mobility, top security, and enormous connections of the fifth-generation network. Previous studies have shown that with the increase in the application of Software-Defined Networking (SDN) on Vehicular Adhoc Network (VANET) in industries, researchers have exerted considerable efforts to improve vehicular communications. This study presents an exhaustive review of previous works by classifying them based on based on wireless communication, particularly VANET. First, a concise summary of the VANET structure and SDN controller with layers and details of their infrastructure is provided. Second, a description of SDN-VANET applications in different wireless communications, such as the Internet of Things (IoT) and VANET is provided with concentration on the examination and comparison of SDN-VANET works on several parameters. This paper also provides a detailed analysis of the open issues and research directions accomplished while integrating the VANET with SDN. It also highlights the current and emerging technologies with use cases in vehicular networks to address the several challenges in the VANET infrastructure. This survey acts as a catalyst in raising the emergent robustness routing protocol, latency, connectivity and security issues of future SDN-VANET architectures.", 
"Network coding has been used in traditional and emerging wireless networks to overcome communications issues. It also plays an important role in the area of vehicular ad-hoc networks (VANETs) to meet the challenges like high mobility, rapidly changing topology, and intermittent connectivity. VANET's consist of network of vehicles in which they communicate with each other.",A comprehensive survey of network coding in vehicular ad-hoc networks,"Network coding is a data processing technique in which the flow of digital data is optimized in a network by transmitting a composite of two or more messages to make the network more robust. Network coding has been used in traditional and emerging wireless networks to overcome the communications issues of these networks. It also plays an important role in the area of vehicular ad-hoc networks (VANETs) to meet the challenges like high mobility, rapidly changing topology, and intermittent connectivity. VANETs consist of network of vehicles in which they communicate with each other to ensure road safety, free flow of traffic, and ease of journey for the passengers. It is now considered to be the most valuable concept for improving efficiency and safety of future transportation. However, this field has a lot of challenges to deal with. This paper presents a comprehensive survey of network coding schemes in VANETs. We have classified different applications like content distribution, multimedia streaming, cooperative downloading, data dissemination, and summarized other key areas of VANETs in which network coding schemes are implemented. This research work will provide a clear understanding to the readers about how network coding is implemented in these schemes in VANETs to improve performance, reduce delay, and make the network more efficient.", 
"Text Summarization was one of the key areas of research in the recent times. Efforts were put to create a system which was able to generate effective summaries. The paper compares all the prevailing systems, their shortcomings, and a combination of technologies.",A Comprehensive Survey on Extractive and Abstractive Techniques for Text Summarization,"Over the years as the technology advanced, the amount of data generated during the simulations and processing has been constantly increasing. Techniques for creating synopses of this massively generated data have been in the forefront of the research in the recent times. Text Summarization was one such aspect of the research which focused on representing the idea of the context in a short representation. Efforts were put to create a system which was able to generate effective summaries providing an overview of all the ideas represented by the article. Text Summarization techniques can be broadly classified into Extractive and Abstractive Text Summarization techniques. The paper compares all the prevailing systems, their shortcomings, and a combination of technologies used to achieve improved results. The paper also draws attention towards the state-of-the-art standardized datasets used in developing the summarization systems. The paper also focuses on testing parameters and techniques used to test the efficiency of the summarizing systems.", 
Automatic text summarization system helps in providing a quick summary of the information contained in the document. Some efficient work has been done for text summarizing on various languages. Among them there are a few works on Bengali language. It motivated us to do develop or modify a new or existing summarization technique for Bengali document(s),A Comprehensive Survey on Extractive Text Summarization Techniques,"Automated data collection tools and matured database technology lead to tremendous amounts of data stored in database, data warehouses and other data repositories. With the increasing amount of online information, it becomes extremely difficult to find relevant information to users. Information retrieval system usually returns a large amount of documents listed in the order of estimated relevance. It is not possible for users to read each document in order to find the useful one. Automatic text summarization system, one of the special data mining applications, helps in this task by providing a quick summary of the information contained in the document(s). Some efficient work has been done for text summarization on various languages. But among them there are a few works on Bengali language. It has thus motivated us to do develop or modify a new or existing summarization technique for Bengali document(s) and to provide us an opportunity to make some contribution in natural language processing. To do the same, we have surveyed and compared some techniques on extractive text summarization on various languages in this paper. The summarizations have done for single or multiple documents in different languages. Finally, a comparative nomenclature on the discussed single or multi-document summarization techniques has been conducted.", 
Summarization systems offer the possibility of finding the main points of texts. Different types of summary might be useful in various applications. This paper presents a taxonomy of summarization systems and defines the most important criteria.,A Comprehensive Survey on Text Summarization Systems,"Text summarization systems are among the most attractive research areas nowadays. Summarization systems offers the possibility of finding the main points of texts and so the user will spend less time on reading the whole document. Different types of summary might be useful in various applications and summarization systems can be categorized based on these types. This paper presents a taxonomy of summarization systems and defines the most important criteria for a summary which can be generated by a system. Additionally, different methods of text summarization as well as main steps for summarization process is discussed. we also go through main criteria for evaluating a text summarization.", 
Maintaining network connectivity is an important challenge for Vehicular Ad-hoc NETwork (VANET) in an urban scene. Most existing studies analyze end-to-end connectivity probability under a certain node distribution model. This work proposes a connectivity prediction-based dynamic clustering model for VANET in an Urban scene.,A connectivity prediction-based dynamic clustering model for VANET in an urban scene,"Maintaining network connectivity is an important challenge for Vehicular Ad-hoc NETwork (VANET) in an urban scene, which has more complex road conditions than highways and suburban areas. Most existing studies analyze end-to-end connectivity probability under a certain node distribution model, and reveal the relationship among network connectivity, node density, and a communication range. Because of various influencing factors and changing communication states, most of their results are not applicable to VANET in an urban scene. In this work, we propose a connectivity prediction-based dynamic clustering model for VANET in an urban scene. First, we introduce a connectivity prediction method according to features of a vehicle node and relative features among vehicle nodes. Then, we formulate a dynamic clustering model based on connectivity among vehicle nodes and vehicle node density. Finally, we present a dynamic clustering model-based routing method to realize stable communications among vehicle nodes. The experimental results show that the proposed connectivity prediction method can achieve lower error rate than the geographic routing based on predictive locations and multi-layer perceptron. The proposed routing method can achieve lower end-to-end latency and higher delivery rate than the greedy perimeter stateless routing and modified distributed and mobility-adaptive clustering-based methods.", 
"Academics receive incentives, tenures, or awards from the number of citations they receive. Use of citations for research/er evaluation purposes can give rise to unethical practices and manipulation. This study conducted a content-based citation analysis study for Turkish citations.",A content-based citation analysis study based on text categorization,"Publications and citations are important components for measuring research performance. Academics receive incentives, tenures, or awards from the number of citations they receive; however, the use of citations for research/er evaluation purposes can give rise to unethical practices and manipulation. Consequently, it is necessary to change the current approach to the use of citations. The main aim of this study was to conduct a content-based citation analysis study for Turkish citations. To achieve this aim, 423 peerreviewed articles, the associated 12,881 references, and 101,019 sentences published in library and information science literature in Turkey were thoroughly examined. The citations were divided into four main categories; citation meaning, citation purpose, citation shape, and citation array. Then, each category was further divided into sub-categories. A tagging process with inter-annotator agreement was conducted and citation categories for the citation sentences determined. Weka software was used to apply the text categorization methods. The automatic citation sentence classification achieved at least a 90% success rate for all citation classes, which proved that using computational linguistics to evaluate citation contexts developing new techniques was possible and gave more detailed results.", 
